,Category (service/promo),,in category write down the se
"Attention insured member! It is mandatory to update your KYC details. Click on the link to complete the process: https://m.bjazr.in/kAxjBf . Thank you for your attention to this matter.
Caringly Yours, -BAGIC",,,
customer getting promotional calls 7971582410,,,
"08045883433,8884923273 CX WAS GETTING THE UNWANTED CALLS",,,
IAPP-BILL PAID AGAINST ACCOUNT NUMBER 2395051000  WITH AMOUNT 2571 00  MODE WALLET  RECEIPT NO 81116410  RECEIPT DATE 15 11 2023   UHBVNL,,,
"????????????? ?????? ??? ????? ??????????? ???????? ??????? ?????? ?????!
?????? ?????????? ?????? (?????) ?.?",,,
IAPP-OTP FOR LOGIN ON THE MOMS CO  IS TMCXO199 AND VALID TILL 5 MINUTES  DO NOT SHARE THIS OTP  GRAB OUR BESTSELLING COMBOS WORTH RS 997 ONL,,,
IAPP-REMINDER  RUPEEREDEE HAS REQUESTED PAYMENT OF INR 11000 00  YOU CAN PAY THROUGH THIS LINK  HTTPS   RZP IO I W417ISK7UP   RAZORPAY,,,
IAPP-YOUR A C XX6966 CREDITED FOR RS 1200 AVAILABLE BAL AFTER TXN RS 1773 MSG ID 1185921669 TIME 15 11 2023 16 59 43 KARNATAKA GRAMIN BANK,,,
एक और प्रीपेड SIM चाहिए? अनलिमिटेड 5G डाटा और कम्प्लीमेंटरी 17+ OTTs का सब्सक्रिप्शन 1 महीने तक अपनी नयी SIM एक्टिवेशन के साथ ना खोएं! पाएं घर बैठे डिलीवरी बिना किसी अतिरिक्त शुल्क के| क्लिक i.airtel.in/prepaid50,,,
IAPP-YOUR TRANSACTION OF AMOUNT 500 0 AGAINST AEPS CASH WITHDRAWAL DATED 15 11 2023 AT 18 30 42 IS SUCCESSFUL WITH TXN ID RRN 331918246289,,,
complaint status smss,,,
Airtel Recharge plan marketing.,,,
IAPP-DEAR CUSTOMER  YOUR ACCOUNT IS DUE FOR REKYC  PLEASE UPDATE USING LINK HTTPS   MYPORTAL UNIONBANKOFINDIA CO IN REKYC  OR THROUGH OUR AT,,,
Airtel spam calling to sell it’s services.,,,
THE UNSOLICITED COMMERCIAL COMMUNICATION,,,
Stop sending me fake free data messages.,,,
Getting multiple messages for loan,,,
"Yay, Renox Men's.. has been successfully delivered! Please take a minute to share your delivery experience. Click here https://ltl.sh/Csqo4hpBDg
Meesho",,,
"Yay, Tailors Single.. has been successfully delivered! Please take a minute to share your delivery experience. Click here https://ltl.sh/CsqkEtUrrA
Meesho",,,
SHOPPING OFFER,,,
हम हर दिन बेहतर हो रहे हैं! INDRA NAGAR DEHRADUN में एक नया टावर लगाया गया है। अब आप अपने एयरटेल पर तेज़ डाटा स्पीड और बेहतर नेटवर्क कवरेज का आनंद ले सकते हैं। एयरटेल का बेहतरीन नेटवर्क चुनने के लिए धन्यवाद|,,,
call/SMS received by you,,,
"Hi, We saw you showed interest in a personal loan. To complete your loan process, just select the loan amount, tenure & EMI. Click here i.airtel.in/NPQJI",,,
"Dear Customer,
To ensure the security of your insurance policy, it's mandatory to update your KYC details. Please do so by clicking on this link: https://m.bjazr.in/kAxeBE  . Your prompt action is appreciated!
Caringly Yours, -BAGIC",,,
"FEDERAL BANK brings pre-approved loan of Rs.500000 with min docs, flexible terms and direct bank transfer. Click http://nc7.in/VkPNuMhZ Paisabazaar",,,
"FREE 1GB Data Credited!
Claim your DATA coupon on Airtel Thanks App. i.airtel.in/FreeData1GB",,,
"ccf 9869870611
cx said that he activated the dnd and STILL getting THE PROMOTIONAL CALLS
AND HE RAISED MULTIPLE COMPLAINTS and still facing the same issue
cx activated the dnd on his no again and again and still it is showing inactive
and we tried to activated the DND and it is showing error : We are facing some technical issues. Please try again later.
please look into it",,,
APP-HELLO USER AXIS BANK- YOUR AXIS BANK CARD CAN BE PRE-QUALIFIED WITH A LIMIT OF UPTO RS.350000 CONFIRM YOUR DETAILS NOW : L01.IN/GMD9QP!9,,,
Loan sms and account credit,,,
"Hi Nayan, for up to 5,00,000 spend limit on your 
pre-qualified zero-fee 
YES BANK Credit Card, click here. TnC apply bnkbzr.co/wpxMGx4jbQ",,,
Your DTDC OTP is 545489. Happy Shipping!,,,
"NEWMITRA, Your One Time OTP Is 511137",,,
unwarranted calls,,,
"NEWMITRA, Your One Time OTP Is 564796",,,
Your DTDC OTP is 032564. Happy Shipping!,,,
"NEWMITRA, Your One Time OTP Is 328537",,,
IAPP-EMI NETWORK CARD LIMIT IS RS 194 286  VIEW  HTTP   R BFLCOMM IN GJEG9BQK  NOW  FOR OTHER PRODUCTS  CLICK  HTTP   R BFLCOMM IN Q1OYHYKU,,,
IAPP-EMI NETWORK CARD LIMIT IS RS 200 000  VIEW  HTTP   R BFLCOMM IN TCRMJCEE  NOW  FOR OTHER PRODUCTS  CLICK  HTTP   R BFLCOMM IN P8JOIIME,,,
"HD box ab hua aapka sirf Rs0 mein!
Jo dekhein sirf uska hi bhugtaan karein Airtel Digital TV ke saath!
Aaj hi 8448284750 par miss call dein!",,,
"Your profile is eligible with Kreditbee, get instant disbursal upto Rs 4 Lacs. Submit your KYC now https://bit.ly/3FbQW54 Linkbell",,,
"Your profile is eligible with Kreditbee, get instant disbursal upto Rs 4 Lacs. Submit your KYC now https://bit.ly/3FbQW54 Linkbell",,,
"Hi
Need urgent funds? CASHe can help. Get a loan of up to Rs. 4 Lakhs with easy application and quick disbursal. Apply now www.gs.im/e/DnkA00LXClS -IndiaLends",,,
I have been receiving spam messages or marketing messages from the below details. Please block.,,,
Call from Airtel company for product marketing,,,
"Hi
Need urgent funds? CASHe can help. Get a loan of up to Rs. 4 Lakhs with easy application and quick disbursal. Apply now www.gs.im/e/IU8kDkQD7vt -IndiaLends",,,
CX IS GETTING MULITIPLE SMS FROM THESE ID .CX WANTS THIS ISSUE TO BE RESOLVED ASAP,,,
IAPP-HI PAVAN KUMAR BAYYANA  HAVING MADE A CLAIM  YOU ALREADY KNOW THE IMPORTANCE OF CAR INSURANCE  RENEW YOUR EXPIRING INSURANCE FOR FORD F,,,
"FREE 1GB Data Credited!
Claim your DATA coupon on Airtel Thanks App. i.airtel.in/FreeData1GB",,,
"Hey Sanyum, Need cash fast? Get up to 5 Lakh instant loan via NoBroker INSTACASH. 
APPLY NOW a.nobrkr.com/k7NoKKx",,,
"Your profile is eligible with Kreditbee, get instant disbursal upto Rs 4 Lacs. Submit your KYC now https://bit.ly/3FbQW54 Linkbell",,,
IAPP-746332 IS THE AUTHENTICATION CODE FOR PROVIDING YOUR CONSENT TO RBL BANK CREDIT CARD  PLEASE REFER TO  WWW RBLBANK COM CC TNC FOR DETAI,,,
AD-MUTHUT AD-DLHVRY AD-BAJAJF JX-APOHS,,,
"आप Scam 2003 - The Telgi Story और The Jengaburu Curse जैसे देखें जाने वाले शो मिस कर रहे हैं!
पाएं एयरटेल एक्सस्ट्रीम प्ले और आनंद लें 15+ OTT साथ में Sony LIV, Eros Now, Lionsgate Play, hoichoi, Chaupal और बहुत कुछ। देखें मूवी, वेब सीरीज़ और बहुत कुछ सभी एक ही ऐप में। अभी डाउनलोड करें open.airtelxstream.in/XPPSSia",,,
Getting promotional calls from iartel,,,
IAPP-DEAR BIGBASKETEER  RS  99 STORE IS HERE WITH BIG DEALS  START SHOPPING NOW ON BIGBASKET U1 MNGE CO JNNPMV3   ENJOY BIG SAVINGS,,,
Please use otp: 745000 to validate.,,,
"1GB high speed data: left in your current pack. To continue using high speed data, recharge with Rs118 pack to get 12GB. Visit i.airtel.in/Rcharge",,,
Hi user SBI Bank- Your Rs.255000/- Limit Credit Card is approved. Please Confirm Your details l01.in/grkias!8dao7o9 JADEADVRT,,,
SBI BANK SPAM SMS FROM JADEADVRT SAYING CREDIT CARD ACTIVATION AVAILABLE,,,
"Hi mayur, Save Your Money! Don't pay a higher interest rate on your loan. Avail instant Power Loans at lower interest rates of 14% only on KISSHT! Avail Now! weurl.co/ryOIxP. *t&c apply",,,
"Today is very Auspicious DIWALI & Amavasya.

Charitable acts done today will benefit most.

Support ISKCON'S ANNADAN & GAUSEVA at
www.iskconmeal.in
ISKCON",,,
company ki calls aa rahi hai,,,
Congratulations Customer! You are now eligible for max value gold loan. Get Rs 4500 per gram for your gold. Apply now to accept https://bit.ly/47j0w2K - indiagold,,,
"Dear customer, avail Rs.35 Lakhs business loan with Lendingkart! 2023 is here and this is a golden chance to boost your business. Apply now! z-f.me/Phz/uBlwySY",,,
Hey- HDFC BANK - Your Rs.225000/- Limit Credit Card is approved. Please Confirm Your details: l01.in/grrhaa!999clnp JADEADVRT,,,
"Dear Customer, Apply Now for Club Vistara IDFC FIRST Credit Card & get up to 6 complimentary Premium Economy Ticket Vouchers. https://idfcfs.in/DFJE7g TCA",,,
"Hi
Need urgent funds? CASHe can help. Get a loan of up to Rs. 4 Lakhs with easy application and quick disbursal. Apply now www.gs.im/e/BUe1X4c7MVb -IndiaLends",,,
IAPP-ITS TIME TO UPGRADE  ENJOY ALL YOUR AIRTEL POSTPAID BENEFITS ON A DIGITAL ESIM  UPGRADE YOUR SIM CARD ABSOLUTELY FREE  AND SAY BYE TO A,,,
Offer to upgrade SIM to eSIM. Message is being sent to me every single day.,,,
"Keep engines of your vehicles properly tuned. Maintain proper tyre pressure in vehicles. Keep PUC certificate of your vehicles up to date. Do not idle your vehicle, also turn off the engine at the red lights. DPCC",,,
"1GB high speed data: left in your current pack. To continue using high speed data, recharge with Rs118 pack to get 12GB. Visit i.airtel.in/Rcharge",,,
customer getting promotional calls,,,
"Hi, Upgrade to Awesome with Samsung Galaxy A54|A34 5G. Buy now, starting from Rs49/day* & get addnl. free 6 months screen protection plan. TnC. 1kx.in/4GtmU0",,,
"124265407,403500417 cx was getting the calls again and again on the same",,,
780390 is the OTP to login to your Kuku FM account. +PfBnXoNS9LY -KukuFM,,,
,,,
Your one time password is 319974 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
Your one time password is 902921 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
Your one time password is 816092 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
Your one time password is 439704 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
unnecessary messages,Promotional,,
IAPP-REFUND INITIATED  AMT  RS 599 66 ON HDFC BANK CREDIT CARD 1522 TO RECEIVE YOUR REFUND PLEASE UPDATE YOUR BANK DETAILS HDFCBK IO A OLK3E,Service,,
Dnd registered hona ka bad bhe call msg arahe h band karna h,Service,,
UNSOLICITED MARKETING SPAM SMS FOR ENTERTAINMENT,Promotional,,
promotional call recive call plz stop,Service,,
data releted calls,Promotional,,
IAPP-HELLO PINUP GIRL   4500 CANDIDATES INTERESTED IN  YOUR COMPANY FOR WORK ON THEINCIRCLE   VIEW RESUME   HIRE STAFF NOW   HTTP   GI9 IN Z8XXK,Promotional,,
dnd registered but still getting promotinal call,Service,,
767933 is your Samsung Shop Login OTP. @www.samsung.com #767933,Service,,
7316120568I am registered for DND but getting Promotional Calls or Messages,Service,,
When was the last time you checked your CIBIL Score? Get latest score for FREE in 2 minutes  https://r.bflcomm.in/GPbnDFsk . T&C apply. Bajaj Finance Ltd,Promotional,,
GETTING MASSAGE FOR SCHOOL FEES FROM UNAUTHORISED COMPANY,Promotional,,
"Hi mayur, Save Your Money! Don't pay a higher interest rate on your loan. Avail instant Power Loans at lower interest rates of 14% only on KISSHT! Avail Now! weurl.co/tyvFSX. *t&c apply",Promotional,,
something about data top-up ivr,Promotional,,
IAPP-YOUR TRANSACTION OF AMOUNT 2020 0 AGAINST AEPS CASH WITHDRAWAL DATED 17 11 2023 AT 11 32 24 IS FAILED WITH TXN ID RRN 332111724913  PLE,Service,,
Offers related calls,Promotional,,
dnd already activate but cx receive the call,Service,,
Airtels offers,Promotional,,
APP-HEY- HDFC BANK - YOUR RS.225000/- LIMIT CREDIT CARD IS APPROVED. PLEASE CONFIRM YOUR DETAILS: L01.IN/GTTTSU!92768VP JADEADVRT,Service,,
promotional sms stop,Service,,
call msg a rahe hai,Service,,
IAPP-DELIGHTED WITH YOUR REPAIR SERVICE  WE WOULD LOVE TO HEAR FROM YOU ABOUT YOUR LENSKART REPAIR EXPERIENCE FOR APPT  2218312 AT HTTPS   L,Promotional,,
"Hi, verify your ID, address and complete video KYC with YES BANK, click bnkbzr.co/wmpnk3u37p BankBazaar",Service,,
Your FREE access to Wynk Premium is ACTIVE. Enjoy Ad free music with unlimited downloads & unlimited hello tunes: bit.ly/WynkPlat,Promotional,,
IAPP-HI  WE COULD NOT WORK ON THE SERVICE REQUEST NO  31 5151922355526 RELATED TO DND ISSUE ON YOUR AIRTEL NUMBER AS THE DETAILS WERE INCOMP,Service,,
"Dear, Your appointment for verification For female patnr for d@tting meting Call for more information sonam- 9732073480 SUDIIP",Promotional,,
airte company call fraud,Promotional,,
Own a plot in a serene and well-connected location Don't miss this opportunity! Call 9071131666 for booking -KSTEWD,Promotional,,
"ख़ास अनलिमिटेड 5G डाटा ऑफर! 
आनंद लें अनलिमिटेड 5G डाटा का Airtel 5G Plus के साथ बिना किसी अतिरिक्त शुल्क के| ऑफर का लाभ उठाने के लिए, आज ही रीचार्ज करें रु239 या उससे अधिक एयरटेल पैक से| रीचार्ज करने के लिए, क्लिक u.airtel.in/Rch3 शर्तें लागू",Promotional,,
"OTP Spam, I am receiving the messages repeatedly",Service,,
"OTP Spam, I am receiving the messages repeatedly",Service,,
"OTP Spam, I am receiving oTP messages repeatedly",Service,,
airtel ka msg aate hai,Service,,
"????? ??????? ???????, ??????????? ????? ?????!
?????? ?????????? ?????? (?????) ?.?",Promotional,,
dnd registered but still getting promotional call,Service,,
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD  TRACK YOUR ORDER WITH THE MOMS CO   TRAVEL SKIN ESSENTIALS WORTH RS 1171 ONLY AT RS 49  PA,Service,,
IAPP-DEAR SHANMUKHAPPA PUJARI  YOUR OTP IS 946826 FOR RESETTING PASSWORD  WHICH IS VALID FOR 15 MINUTES FROM 17 11 2023 17 18 21 PLEASE VALI,Service,,
ad-odigov ad-odigov ad-odigov,Promotional,,
"+912047130964
+912069009216
ad-bfdlts",Promotional,,
IAPP-DEAR ASPIRANT GREETINGS FROM DEEPA S READING ROOM WE STARTED A NEW 12TH BRANCH IN HYD    KONDAPUR  PLZ SHARE THIS TO UR FRIENDS WHO NEA,Promotional,,
"Hi, We saw you showed interest in a personal loan. To complete your loan process, just select the loan amount, tenure & EMI. Click here i.airtel.in/NPQJI",Promotional,,
IAPP-PROMOTE YOUR BUSINESS BY BULK SMS SIM SMS WHATSAP IVR TOLL FRE WEBSITE SEO SMO SIM SMPP SMS RESELLER AGGREGATOR PANEL CALL  8448068872,Promotional,,
IAPP-PROMOTE YOUR BUSINESS BY BULK SMS SIM SMS WHATSAP IVR TOLL FRE WEBSITE SEO SMO SIM SMPP SMS RESELLER AGGREGATOR PANEL CALL  8448068872,Promotional,,
"Dear customer, Your ICICI Bank Rewards points of 5889 expiring by today midnight. Please visit https://bit.ly/3Q1j1SU to redeem now. Hindustan Enterprises",Promotional,,
"ख़ास अनलिमिटेड 5G डाटा ऑफर! 
आनंद लें अनलिमिटेड 5G डाटा का Airtel 5G Plus के साथ बिना किसी अतिरिक्त शुल्क के| ऑफर का लाभ उठाने के लिए, आज ही रीचार्ज करें रु239 या उससे अधिक एयरटेल पैक से| रीचार्ज करने के लिए, क्लिक u.airtel.in/Rch3 शर्तें लागू",Promotional,,
dnd already activate,Service,,
"Congratulations!
You are eligible for RBL Bank Credit Card of limit up to Rs. 200000. Apply now  https://r.bflcomm.in/GL3GOaAk  TnC.
Bajaj Finance Ltd",Promotional,,
Customer has activated DND but still they are receiving the calls for every 30mins,Service,,
"Dear Krishna Murthy, thank you for your Job Card transaction, we have added 169 points to your Maruti Suzuki Rewards account. To know more, download Maruti Suzuki Rewards app- http://onelink.to/msrloyalty3 or visit https://bit.ly/3q65JVo. T&C Apply.",Promotional,,
"Dear User, On RummyCircle cash transactions are 100% safe secure and instant. Let nothing come in the way of thrill. Play Rummy Win Cash https://bit.ly/3tuDYtV",Promotional,,
"Dear customer,
Your SBI Bank reward points worth 5898 are expiring today.
Collect now before they expire https://s.id/Rewrds .
H Enterprises",Promotional,,
IAPP-YOUR INSTALLATION REQUEST NO   1021842048 IS NOW CLOSED  FOR ANY QUERY  CALL US ON 95017 95017 OR SMS CALL ME TO 57575 FOR A PROMPT CAL,Service,,
IAPP-TO VIEW THE A C STATEMENT FOR YOUR LATEST TRANSACTION IN FOLIO XXXXX572  PLS CLICK THE LINK HTTPS   CAMS CO IN 2LNWL3LHXWD   ENTER PAN,Service,,
"आपके नए 5G स्मार्टफोन पर बधाई!
अब एयरटेल 5G Plus के साथ अनलिमिटेड 5G डाटा का आनंद लें बिना किसी अतिरिक्त शुल्क के। इंट्रोडक्ट्री ऑफर का लाभ उठाने के लिए, https://bit.ly/3OCPUVs  पर क्लिक करें शर्तें लागू",Promotional,,
"Hi, your order has been placed. Sounds Good?
Track your order with The Moms Co. 
Natural Glow Essentials worth Rs.997 Only at Re.1.
PAY & Shop weurl.co/uyrSAV",Promotional,,
"DEAR CUSTOMER, YOUR SBI BANK REWARD POINTS WORTH 5898 ARE EXPIRING TODAY. COLLECT NOW BEFORE THEY EXPIRE HTTPS://S.ID/REWRDS . H ENTERPRISES",Promotional,,
IAPP-DEAR CUSTOMER  YOUR SBI BANK REWARD POINTS WORTH 5898 ARE EXPIRING TODAY  COLLECT NOW BEFORE THEY EXPIRE HTTPS   S ID REWRDS   H ENTERP,Promotional,,
Low remaining data warnings. Recharge intimations. More than 20 messages received in less than 12 hours.,Promotional,,
"Dear Customer, your  ICICI Credit Card Point expired by today Rs.5999 Kindly Redeem visit - https://rb.gy/07f8og  JAI JHAMESHWAR",Promotional,,
"BIG DIWALI DEALS-ONLY THIS WEEKEND@Vishal MegaMart

TataTea1kg 161 OFF
Parle Buy1Get1
Tide5kg 150 OFF
Colgate 80 OFF
BajajMixer 2099
Cooker3L 579
Kettle1.5L 499",Promotional,,
pramosnal  call sms / offer realated,Promotional,,
"Your verification code is 6BX8JNKJFY for Simpl app login. Do not share this with anyone.
Not you? https://1sm.pl/c",Service,,
"DO NOT SHARE: Your LazyPay login OTP is 337906. By confirming OTP, you agree to lazypay.in/tnc. WE NEVER CALL / WHATSAPP TO VERIFY OTP. r2HQb4e48kg",Service,,
"????? ??????? ???????, ??????????? ????? ?????!
?????? ?????????? ?????? (?????) ?.?",Promotional,,
"Crafted luxury@Ruparel Panache Santacruz-W
Premium 2&3 Bed Deck Residences,21+lifestyle amenities
2bhk- 4.73crs & 3bhk- 6.50crs++onwards.
9018149149
T&C apply.",Promotional,,
IAPP-YOUR TRANSACTION OF AMOUNT RS  310 AGAINST M ATM CASH WITHDRAWAL DATED 18 11 2023 AT 10 22 11 IS SUCCESSFUL WITH TXN ID RRN 33221006970,Service,,
"Hi mayur, Save Your Money! Don't pay a higher interest rate on your loan. Avail instant Power Loans at lower interest rates of 14% only on KISSHT! Avail Now! weurl.co/vyMkjo. *t&c apply",Promotional,,
IAPP-ASICS FESTIVE SALE  BUY 3 AND GET 50  OFF ON APPAREL  FLAT 30  OFF ON OUR RANGE OF FOOTWEAR  VISIT AN ASICS STORE NEAR YOU  TO GRAB THE,Promotional,,
promotional calls,Promotional,,
dara recharge k bare m msg a rhe h,Promotional,,
offers relet,Promotional,,
Please use otp: 244735 to validate.,Service,,
promotional calls,Promotional,,
IAPP-812356 IS YOUR ONE TIME PASSWORD  OTP  FOR NNNOW COM,Service,,
IAPP-HI  USE 08E108 AS ONE TIME PASSWORD  OTP TO SUBMIT YOUR QUERY. THANKS TEAM HONDA,Service,,
IAPP-HI  YOUR ORDER HAS BEEN PLACED  SOUNDS GOOD  TRACK YOUR ORDER WITH THE MOMS CO  ANTI TAN BUNDLE WORTH RS 792 ONLY AT RE 1  PAY   SHOP W,Promotional,,
"Hi, your order has been placed. Sounds Good?
Track your order with The Moms Co. Anti-Tan Bundle worth Rs.792 Only at Re.1.
PAY & Shop weurl.co/vy9rPO",Promotional,,
after activate dnd customer  alsi get promo calls,Service,,
IAPP-E                 2023                      E                            263728695                                                                               102 KHATA NO 186   1 2000,Service,,
customer wants to block,Service,,
Loan and other options.,Promotional,,
OFFER KI DETAIL KE LIYE,Promotional,,
dnd activate but cx receive the call,Service,,
"Hey! Glow & Go: Weekend Edition! Grab up to 30% off + FREE Plums, ONLY FOR TODAY!

HURRY! http://nsm.sg/VkwP9v5C

-PlumGoodness",Promotional,,
spam/company call,Promotional,,
"Your profile is eligible with Kreditbee, get instant disbursal upto Rs 4 Lacs. Submit your KYC now https://bit.ly/3FbQW54 LinkbelL",Promotional,,
promotional calls,Promotional,,
IAPP-DEAR SBI BANK CUSTOMER TODAY IS YOUR LAST CHANCE TO REDEEM YOUR EXPIRING SBI REWARD POINT RS 5899 POINTS  VISIT HTTPS   S ID REWRDS TO,Promotional,,
"Hi there, don't hide when you see the whitest white smile! Complete your look this shaadi season with Colgate's Bright Smiles Combo! https://amzn.to/3sCfEck",Promotional,,
Airtel company offer recharege,Promotional,,
Getting promotional calls from airtel,Promotional,,
Airtel fibre,Promotional,,
"Too often,",Promotional,,
IAPP-                                   4080009000         32443 90 25 11 2023                  0 00              HTTPS   1KX IN VTEXWS                HTTPS   1KX IN V,Service,,
Loan Spamming with link,Promotional,,
OTP Msg coming,Service,,
callls from airtel,Promotional,,
Please use otp: 288342 to validate.,Service,,
Please use otp: 770464 to validate.,Service,,
"Embrace the winter chill with cozy sweatshirts & sweaters, stylish coats & jackets & more from TOP brands.

EXTRA 10% instant discount on HDFC credit cards at Lifestyle stores. T&C

Shop now: 
m.lifstl.in/NQo52yx0",Promotional,,
recharge ke liye promotional call,Promotional,,
promotional calls,Promotional,,
promoional sms,Promotional,,
IAPP-LAUNCHING SEVENTH AVENUE BY RUBBERWALA   AVA WITH BEST AMENITIES  BYCULLA SMART 1 2 BHK  RS 1 3CR    PRE BOOK TODAY   SAVE UPTO 7 LACS,Promotional,,
Congrats SBI Bank- Your Rs.220000/- Limit Credit Card is approved. Please Confirm Your details l01.in/h77vdm!8rj2rhn JADEADVRT,Promotional,,
"Hi Dharmendra, CONGRATULATIONS!!! you have won the access to the biggest DaMENSCH sale with upto 40% off! Hurry, limited stock left u1.mnge.co/Dqn5zW7",Promotional,,
"बधाई हो USER ,
आपने 100% प्राइवेसी के साथ रु 9 LAKH तक का एयरटेल फ्लेक्सी क्रेडिट प्राप्त किया है! मिनटों में अपने बैंक अकाउंट में पैसे पाएं! आज ही अप्लाई करें https://i.airtel.in/FSPNPC",Promotional,,
"पाएं रु300 का डिस्काउंट अपने अगले रीचार्ज पर!
एयरटेल थैंक्स ऐप पर आज ही अपने दोस्तों को कोई भी एयरटेल सर्विस रेफर करें
अभी रेफर करें- i.airtel.in/Act_no5g",Promotional,,
customer want stop promo calls,Service,,
promo calls AND SMS,Promotional,,
Your one time password is 907240 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
Your one time password is 990278 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
Your one time password is 299712 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
Your one time password is 204112 for Login on Fantasy Dangal. Please do not share with anyone. XwpiXgyKEkc,Service,,
"Hi, Exchange your old bedsheet for a New Wakefit Bedsheet starting from Rs.499. Avail offer at a nearby Wakefit Store! Get offer code @ web.wakefit.co/VAxkZyP",Promotional,,
"Expiring Today! Your exclusive offer on Rs.50,000 mobile wallet coverage. Click here to Redeem  https://r.bflcomm.in/E9r3W9-U  - BFL",Promotional,,
Recharge with 118 rs,Promotional,,
Always sharing data offers. Spamming my inbox,Promotional,,
Airtel call,Promotional,,
"Wishing you and your loved ones a sparkling and joyous Diwali! Mutual Fund investments are subject to market risks, read all scheme related documents carefully. Regards, HSBCMF",Promotional,,
FRAUD PAYMENT ASKED BY LAZY PAY,Service,,
"Hi Customer, This Diwali you get a chance to win a Smartphone! Avail of your pre-approved Personal Loan up to Rs. 2.5 Lakhs* disbursed in 4 hours*. No income proof required. Avail now http://nmc.sg/kj8blP *T&C Apply. TVS Credit",Promotional,,
"Hi Customer, Congrats on your InstaCard! As next step, activate & instantly transfer Rs. 25000* to your bank a/c http://nmc.sg/kjvFa2 *T&C Apply. TVS Credit",Promotional,,
IAPP-STANDING INSTRUCTION FOR RS 60 FOR BENEFICIARY  FROM YOUR A C XXXX8606 COULD NOT BE PROCESSED DUE TO INVALID ACCOUNT NUMBER ON 19 NOV 2,Service,,
Congrats User- AXIS Bank- Your AXIS bank Card Can be Pre-qualified with a limit of upto Rs.345000. Confirm your details Now : l01.in/h2s8c0!8pvm5mf Hexa,Promotional,,
IAPP-PVR YOUR OTP IS 637452,Service,,
promotional call,Promotional,,
till Getting Promotional Calls/SMS,Service,,
customer getting promotional calls  8048199846,Service,,
[#] 7417 is your OTP for APNATIME job portal. It is valid for 10 minutes. Do not share your OTP with anyone. 9eJcXmKs6I6,Service,,
AD-GRWIGI AD- RLONET CX ACTIVATED DND BUT THEN ALSO GETTING THE SMS,Service,,
promotional call and sms  from  dmi,Promotional,,
Complaint for copany,Service,,
RECHARGE offar ke releted,Promotional,,
"Dear Customer, FD-backed FIRST WOW! Credit Card with 4X Reward Points, 0 Forex mark-up & more. Apply now https://idfcfs.in/DFsHOo TCA. Team IDFC FIRST Bank",Promotional,,
dnd k bad bhi call aa rahe hai,Service,,
IAPP-REMINDER  PAYMENT OF RS 599 IS PENDING FOR WALLET PROTECT  YOUR CREDIT DEBIT CARD IS AT RISK  SECURE NOW  CLICK 1TS IO JBHTQLIIRPM  BAJ,Promotional,,
Receiving unnecessary calls,Promotional,,
"Dear Exporter, Click this link to download HDFC CREDIT REWARDS RS5999 KLIKSEAL Mobile App on Your Device CLICK HERE https://rb.gy/yudlw",Promotional,,
getting promotinal calls and sms from other company,Promotional,,
Hi 994007xxxx Transaction successfully done of Rs.95399 to your Rummy Account. Withdraw it l01.in/h91bfh!987irm7 JADEADVRT-GAMES24,Promotional,,
IAPP-DEAR EXPORTER  CLICK THIS LINK TO DOWNLOAD HDFC CREDIT REWARDS RS5999 KLIKSEAL MOBILE APP ON YOUR DEVICE CLICK HERE HTTPS   RB GY YUDLW,Promotional,,
"Hi there! Surprise friends and family with gifts of cutlery, dining ware, serveware and kitchen essentials from Fabindia this season! txtn.in/l/41199?qmnIgnj",Promotional,,
Please use otp: 580370 to validate.,Service,,
Congratulations! We've improved network in Coimbatore. You can now enjoy faster data speeds and improved network coverage. Thank you for choosing Airtel's superior Network.,Service,,
Airtel promotional,Promotional,,
SMS FROM KLIKSEAL TO DOWNLOAD TRADING APP,Promotional,,
IAPP-                                                                                                          BHARATGASLPG UBONA COM B8YYTI2Y                 BPCL,Service,,
"Dear Customer,0675 is your login OTP. for Dealshare. Treat this as confidential. Thanks - Dealshare",Service,,
"Thanks for calling Airtel call center. We'd like to hear about your recent experience. To share your valuable feedback, click on the link : https://nps.airtel.in/fmp/nps?sNo=QMmTUGC-uSg=&type=post",Promotional,,
"Hello Parent, Your ward SAHIL KASHYAP, was absent on 18-Nov-2023 for class at 4:10 PM Regards, Physics Wallah",Service,,
"Dear VINOD MANOHAR LAKHE, We have received your payment request for Rs.4100 towards your Loan number 106283790 , Click https://idfcfr.in/n0rZcJ to pay now. Thanks - IDFC FIRST Bank",Service,,
IAPP-TRAYA   ARE YOU BEST FRIENDS WITH YOUR COACH  READ HOW YOUR COACH CAN HELP YOU GET HEALTHY WITH TRAYA  READ HERE  HTTPS   BIT LY 31JU50,Promotional,,
coustomer wants to stop promo calls,Service,,
airtel ke taraf se call aa raha hai,Promotional,,
